fips,out_pre,out_post,in_pre,in_post
2020,146,147,219,143
2090,0,0,29,33
4005,0,28,66,81
4013,1116,1516,1012,1073
4015,30,95,0,0
4019,342,376,245,303
4021,108,166,0,62
4025,55,41,28,31
4027,0,35,0,0
6001,513,432,1193,1362
6007,0,31,113,129
6013,183,163,376,482
6017,0,31,31,77
6019,98,99,154,177
6023,63,66,118,115
6029,30,71,125,139
6037,1584,1670,2468,2931
6041,88,91,225,197
6053,71,49,120,150
6055,0,0,59,27
6057,0,35,35,28
6059,483,543,804,742
6061,32,113,132,119
6065,368,434,327,460
6067,353,377,426,503
6071,203,192,273,332
6073,798,945,1181,1149
6075,505,475,1238,1042
6077,45,28,124,128
6079,87,129,143,126
6081,173,160,456,432
6083,100,140,214,186
6085,479,418,947,764
6087,106,108,198,184
6089,0,86,82,77
6095,0,63,87,105
6097,129,173,311,327
6099,0,0,64,100
6107,0,0,0,40
6111,156,142,198,223
6113,0,77,70,71
8001,26,0,54,73
8005,142,163,133,184
8013,159,212,158,161
8031,420,444,372,455
8035,0,0,35,0
8041,110,129,129,145
8059,94,138,135,162
8069,98,112,117,163
9001,0,46,65,35
9003,0,0,73,30
9009,28,42,84,0
11001,146,189,266,247
12001,0,0,68,30
12011,95,114,147,109
12031,46,156,71,78
12057,131,198,108,125
12071,31,88,31,0
12081,0,43,0,0
12086,128,188,160,153
12095,108,146,126,118
12099,81,114,103,72
12101,0,37,0,0
12103,131,120,113,124
12115,0,139,30,40
12127,0,39,0,0
13067,0,67,44,0
13089,73,103,95,159
13121,136,123,192,135
13135,0,47,0,38
15001,138,193,161,102
15003,326,316,521,432
15009,132,119,123,101
16001,508,537,317,374
16017,0,41,0,0
16019,0,35,0,0
16027,179,194,44,78
16055,102,192,64,64
17019,0,0,24,0
17031,463,495,846,822
17043,37,62,92,58
17089,0,0,30,0
17097,0,0,35,23
17197,0,0,24,0
18003,0,37,0,0
18097,69,86,80,90
18141,0,0,38,0
19103,0,0,26,27
19153,47,72,33,76
20091,0,67,65,55
21111,46,36,63,0
22033,0,0,0,28
22071,71,74,116,140
23005,76,113,66,65
24003,0,0,72,0
24005,0,0,70,0
24031,35,94,134,114
24510,69,95,101,97
25009,0,0,79,28
25015,0,0,26,0
25017,201,226,291,265
25021,26,62,90,79
25025,123,151,222,161
25027,0,0,31,109
26081,86,103,89,67
26125,84,141,129,90
26161,88,88,127,112
26163,76,76,92,66
27053,301,347,348,401
27123,89,87,101,109
29043,0,80,0,0
29077,0,140,0,0
29095,86,96,96,107
29189,0,69,89,95
29510,0,60,73,78
30029,83,120,28,41
30031,87,106,101,93
30063,132,164,128,113
30111,0,63,33,26
31055,84,76,79,119
32003,724,749,613,654
32031,172,199,202,219
34003,0,0,33,0
34017,0,26,76,42
35001,187,201,191,158
35049,97,104,74,56
36005,0,0,0,23
36029,84,35,37,0
36047,421,435,673,705
36055,0,41,71,78
36059,0,0,28,28
36061,326,358,402,334
36067,0,0,30,22
36081,136,105,216,122
36103,0,26,65,58
36119,0,0,67,29
37021,45,114,57,50
37063,36,73,92,42
37119,137,142,137,106
37183,82,118,107,97
39035,98,118,104,98
39049,160,188,203,200
39061,36,65,97,79
39113,0,48,0,0
40109,0,84,80,81
40143,0,0,77,0
41001,0,45,0,0
41003,480,548,688,671
41005,18690,20381,12618,11436
41007,509,562,286,307
41009,1188,1128,568,509
41011,157,146,143,118
41013,115,199,0,0
41015,0,33,0,0
41017,1470,2221,772,773
41019,189,235,190,164
41027,416,584,279,258
41029,523,563,604,617
41031,138,155,41,75
41033,124,202,146,138
41035,138,175,111,97
41039,1247,1345,1659,1559
41041,350,500,206,203
41043,347,366,264,244
41045,0,34,0,0
41047,1855,2066,1562,1664
41053,324,377,283,285
41057,347,507,193,176
41059,149,208,137,173
41061,61,81,45,78
41063,0,76,0,0
41065,256,299,162,163
41067,14234,14816,12631,11789
41071,639,956,572,569
42003,134,192,128,125
42091,0,0,28,0
42101,175,173,227,202
44007,0,26,25,0
45019,0,0,41,60
45045,0,38,0,0
45083,88,415,0,0
47037,127,149,168,126
47065,0,43,0,0
47093,0,83,0,0
47157,42,0,35,68
48029,133,255,202,107
48085,35,148,75,86
48113,178,316,267,231
48121,0,141,65,70
48141,0,32,0,55
48157,0,46,0,0
48201,268,368,355,319
48209,0,44,0,0
48339,0,89,0,0
48439,156,195,169,170
48453,392,487,448,500
48491,95,101,27,93
49035,299,400,418,494
49049,91,138,113,121
49057,0,0,39,30
50007,67,48,89,58
51013,0,0,38,41
51059,26,84,144,91
51760,29,30,27,32
53005,149,171,123,154
53007,0,43,0,0
53009,59,97,28,34
53011,9823,10897,5747,5196
53015,686,606,319,320
53027,0,32,0,0
53029,39,94,35,0
53031,81,130,0,29
53033,2351,2276,2447,2414
53035,190,238,155,132
53039,206,243,81,68
53041,101,155,60,37
53045,0,40,0,0
53049,121,123,0,0
53053,547,566,536,601
53055,0,40,0,0
53057,30,120,0,0
53059,142,211,66,66
53061,312,356,347,362
53063,502,451,264,363
53067,295,304,324,291
53071,76,97,72,78
53073,202,330,203,230
53075,33,0,25,22
53077,100,113,97,111
55025,112,137,188,151
55079,76,122,163,149
